sex,age,disclosed,level,median_abs_gap,max_abs_gap
female,50,both,hs_or_less+nh_white,21.883075318222225,70.15067781825297
female,50,both,hs_or_less+nh_black,38.39892337130321,228.58731139123597
female,50,both,hs_or_less+nh_asian,13.404749843293345,174.46938008915066
female,50,both,hs_or_less+nh_aian,19.094605334328946,643.5692270552522
female,50,both,hs_or_less+nh_nhpi,26.756334940775616,434.5818569384746
female,50,both,hs_or_less+nh_twoplus,11.122102724458287,99.07438214248499
female,50,both,hs_or_less+nh_other,22.13830820496004,259.570713815554
female,50,both,some_college+hispanic,29.847985319167492,221.34858120693332
female,50,both,some_college+nh_white,19.83124436658109,65.76399906524759
female,50,both,some_college+nh_black,39.35118131985209,178.06786892978218
female,50,both,some_college+nh_asian,14.284484516987732,187.61948303054095
female,50,both,some_college+nh_aian,17.025909473178828,461.8927220149461
female,50,both,some_college+nh_nhpi,25.29292300880968,442.0847837202065
female,50,both,some_college+nh_twoplus,8.733064943782793,82.3014910657456
female,50,both,some_college+nh_other,20.86884717385489,229.75836638028989
female,50,both,bachelors+hispanic,26.944594799073528,204.26374711956873
female,50,both,bachelors+nh_white,16.81822452086439,65.35630711806355
female,50,both,bachelors+nh_black,37.439026323806274,153.85726301252046
female,50,both,bachelors+nh_asian,23.988436172449084,246.47674662294463
female,50,both,bachelors+nh_aian,19.104658584593494,633.2616594615074
female,50,both,bachelors+nh_nhpi,27.598783645621737,347.41756814025746
female,50,both,bachelors+nh_twoplus,9.757943369382687,72.98926391264426
female,50,both,bachelors+nh_other,24.839570433657414,232.09116565126516
female,50,both,graduate+hispanic,26.825929409003834,175.7598661229813
female,50,both,graduate+nh_white,15.188009414153498,87.0326774602921
female,50,both,graduate+nh_black,39.3415583578786,144.8444618622109
