cbsa,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
29020,34547.00699930406,35963.0,-1415.9930006959403,1295.0,1154.2622619587871,False,True
29820,40110.25006550113,39897.0,213.25006550113176,367.0,393.5983678757639,True,True
40900,47362.60198961247,47193.0,169.6019896124708,426.0,411.77900211589713,True,True
39820,39189.97508682596,39574.0,-384.024913174042,1351.0,1205.5375750034593,True,True
19340,40181.30661147323,40505.0,-323.69338852677174,683.0,823.7756116137207,True,True
43640,43369.820099955556,43364.0,5.820099955555634,1249.0,1202.0225391105903,True,True
13140,33864.91719048011,34041.0,-176.08280951988854,551.0,680.3442149055984,True,True
25420,44395.17562708644,43785.0,610.1756270864425,654.0,815.8320729948717,True,True
22660,51739.50776665011,51165.0,574.5077666501093,954.0,1077.650503948956,True,True
18880,43150.82170935278,46655.0,-3504.1782906472217,1222.0,1018.4026314417118,False,False
37460,41384.056111891994,39174.0,2210.056111891994,1187.0,1239.37614682423,False,False
27260,43844.5106057743,43752.0,92.51060577430326,576.0,472.975633440893,True,True
15980,44823.311434884985,44931.0,-107.68856511501508,637.0,705.2481912873446,True,True
39340,36840.082302632,37028.0,-187.91769736800052,485.0,460.3881347994811,True,True
42340,38742.164519583945,40645.0,-1902.8354804160554,980.0,732.1900479726426,False,False
31420,32909.57163244159,33652.0,-742.4283675584084,1008.0,916.2185141507615,True,True
25980,33424.10141067196,27976.0,5448.1014106719595,907.0,919.5791515309605,False,False
34740,32361.019014992973,32532.0,-170.9809850070269,729.0,958.3074583134782,True,True
28020,40817.186708943314,41530.0,-712.8132910566856,1227.0,1209.990168291738,True,True
31700,52741.89132392281,54111.0,-1369.1086760771868,895.0,790.7977711569256,False,False
19460,35622.10938124262,35213.0,409.10938124261884,951.0,1191.2748242655218,True,True
49420,30482.50293944819,30448.0,34.50293944818986,604.0,791.1994810571612,True,True
38860,52591.57647318174,52055.0,536.5764731817399,670.0,1070.835307098771,True,True
24860,39675.15805553291,39451.0,224.15805553291284,619.0,636.1499907626314,True,True
44940,29767.719383976324,30466.0,-698.280616023676,1149.0,944.1834855307507,True,True
40340,51354.80926912218,50884.0,470.80926912218274,1041.0,1677.9491909770613,True,True
24580,41509.72754692389,42043.0,-533.2724530761116,851.0,999.0205848864239,True,True
22220,42130.64087026029,42582.0,-451.359129739707,916.0,877.6446761974363,True,True
36540,45233.06023671485,45491.0,-257.9397632851469,540.0,656.0712421277966,True,True
23060,37260.84707337727,37750.0,-489.15292662272986,626.0,596.2120044597292,True,True
44700,37218.144668756904,37266.0,-47.85533124309586,579.0,623.8300789556815,True,True
33260,49206.888347708235,49552.0,-345.1116522917655,2257.0,1980.9428322424887,True,True
