cbsa,sex,band,edu4,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
39740,Female,25-34,hs_or_less,8699.0,9084,-385.0,646.2677463714246,682.691449801812,True,True
39820,Female,25-34,hs_or_less,3921.0,3841,80.0,482.6033568055655,543.22398405492,True,True
39900,Female,25-34,hs_or_less,12728.343559225272,13364,-635.6564407747283,997.0200599787348,890.9561473519498,True,True
40060,Female,25-34,hs_or_less,24672.573792070783,24169,503.5737920707834,1285.5391864894668,1356.4982318662219,True,True
40140,Female,25-34,hs_or_less,122466.0,121179,1287.0,2943.604083432417,3227.745354768364,True,True
40220,Female,25-34,hs_or_less,5697.215492186943,5185,512.2154921869433,582.3280862194438,787.5174456478277,True,True
40340,Female,25-34,hs_or_less,2539.378563638075,2648,-108.62143636192513,343.21130517510636,529.8121825086196,True,True
40380,Female,25-34,hs_or_less,18012.04277044365,18542,-529.9572295563485,1067.2160043777455,1406.2198847949132,True,True
40420,Female,25-34,hs_or_less,6714.0,6862,-148.0,580.807196925107,716.0119260904457,True,True
40580,Female,25-34,hs_or_less,3656.0,3345,311.0,558.3000985133353,565.0610916916418,True,True
40660,Female,25-34,hs_or_less,2423.2719659714976,2082,341.2719659714976,382.6133818882973,327.9132522431684,True,True
40900,Female,25-34,hs_or_less,38398.0,39573,-1175.0,1608.4753650584767,2024.9283169361825,True,True
40980,Female,25-34,hs_or_less,3459.0,3697,-238.0,441.4906567527789,536.6691172000211,True,True
41060,Female,25-34,hs_or_less,2703.5745904819955,2613,90.57459048199553,359.88609309057773,680.5995032504984,True,True
41100,Female,25-34,hs_or_less,2724.0,2855,-131.0,458.9041294213858,446.2583638922076,True,True
41140,Female,25-34,hs_or_less,2681.97902376443,2708,-26.020976235569833,362.0179553558083,373.1031785894378,True,True
41180,Female,25-34,hs_or_less,40400.89374827737,40435,-34.10625172263099,1584.5444140193736,2016.2558741515752,True,True
41420,Female,25-34,hs_or_less,8575.992765011422,8616,-40.00723498857769,783.4130455896175,892.1106827673804,True,True
41500,Female,25-34,hs_or_less,10805.57042639819,11146,-340.42957360181026,865.4189736769122,694.0963838405889,True,True
41540,Female,25-34,hs_or_less,1979.4420885497566,2412,-432.5579114502434,416.92925059295135,292.96076336513534,False,True
41620,Female,25-34,hs_or_less,24829.14531216771,24882,-52.85468783228862,1034.1363546457499,1224.3991438761384,True,True
41660,Female,25-34,hs_or_less,2568.4263351244654,2607,-38.57366487553463,492.9137855649809,382.7586958465517,True,True
41700,Female,25-34,hs_or_less,58722.69471529861,58738,-15.30528470138961,2389.661482302462,2284.2392754244524,True,True
41740,Female,25-34,hs_or_less,50138.0,51626,-1488.0,2251.6847026171317,2295.1403495903037,True,True
41780,Female,25-34,hs_or_less,2293.4156524386462,1972,321.41565243864625,288.47876871617433,313.23779321143485,False,True
