cbsa,alpha,beta,n_fit_points,fallback,val_p90_rel_err
27740,0.5175458972809162,-0.5925246395484225,62,False,0.3341997021440218
27780,0.4497297645986431,-0.5625270740219125,60,False,0.2635559080143176
27860,0.39873271504420266,-0.5716881677562032,51,False,0.3497424714455981
27900,0.42636642299326905,-0.5717512049195361,58,False,0.46282991897917547
27980,0.29033136388965214,-0.587904809004207,75,False,0.2577727221039609
28020,0.5301091707551958,-0.5939173346534492,70,False,0.48252744212601234
28100,0.3501199737386984,-0.5989763037529015,58,False,0.6742795341974379
28140,0.3053847497022003,-0.5317197789169047,103,False,0.4711737745214561
28420,0.41168816897113103,-0.5831661985449268,75,False,0.3275582804849913
28450,0.5275435562421971,-0.617065830466455,57,False,0.2869920196391099
28660,0.4154251465616549,-0.5646395077081194,84,False,0.38688944479917803
28700,0.3418103152669894,-0.5770502470961377,66,False,0.24601158604325987
28740,0.24816317909629418,-0.5422679858840384,73,False,0.2268781719524006
28880,0.3513259440999955,-0.5506325679908524,98,False,0.3527151553576107
28940,0.2995775616046626,-0.5354260566151492,90,False,0.36873310424498285
29020,0.48328493774657644,-0.6592931130072728,36,False,0.4730414004810956
29100,0.3696095719373335,-0.5584839423087098,58,False,0.2726196621878681
29180,0.43592924047385767,-0.569425699547553,74,False,0.4273621754390807
29200,0.3784160559381449,-0.5703543628889568,71,False,0.6123845480287324
29340,0.3747022605649387,-0.5647545772401518,61,False,0.3042476285320173
29420,0.40188313764918104,-0.5635507392194306,57,False,0.5585919115103781
29460,0.3774807999253774,-0.557285527348526,90,False,0.3927327366226926
29540,0.41047472938872526,-0.5606790857850712,76,False,0.468002737249094
29620,0.4007978424657817,-0.5555422728726161,80,False,0.3784785760400251
29700,0.4974186764755826,-0.5926055925696733,64,False,0.3435870234488653
29740,0.6100898011951398,-0.6134085120281695,66,False,0.36075962654986343
29820,0.4209641416711217,-0.5489160433831842,109,False,0.3743145486789824
29940,0.4607278048951455,-0.5975512519640039,58,False,0.5743963592163114
30020,0.45265957220722525,-0.5892648463613921,54,False,0.45484494334766895
30140,0.6213485230164553,-0.6321952849197642,54,False,0.7081291137542062
30300,-0.09404622937449945,-0.5850088139732446,46,False,0.44481972756172306
30340,0.5211071703075401,-0.6126522423180519,48,False,0.5165365229309886
30460,0.4062201323697726,-0.5691727224814311,87,False,0.2811993242642434
30500,0.5021322958142137,-0.6017349678532345,72,False,0.47126798086500316
30620,0.4400444242104803,-0.5985070771686775,48,False,0.5141647861789513
30700,0.3542402084571403,-0.5570721542048076,70,False,0.32157100773933106
30780,0.45817114516102075,-0.5714744985144977,86,False,0.46065712900927375
30860,0.4650778713410382,-0.6305784373997863,58,False,0.3805207727789458
30980,0.4313509938754918,-0.585006157131449,64,False,0.39362537097875
31020,0.3933805279623217,-0.6130271547998342,51,False,0.49590759866181067
31080,0.42986011248290074,-0.5382381144866761,116,False,0.45849259018662725
31140,0.42030388175207095,-0.5406310697621688,99,False,0.4338374061200859
31180,0.5678133237100219,-0.5870869229331243,76,False,0.6465319443472067
31340,0.4240098540649836,-0.5783254653030017,68,False,0.3182582772371089
31420,0.39242397431472953,-0.592067717928494,72,False,0.3361612428540103
31540,0.2610180344798622,-0.5218995269899821,85,False,0.45186929779855206
31700,0.2673134472604657,-0.5409444186152828,82,False,0.526347668672186
31740,0.5000451463696424,-0.5998392094248202,54,False,0.42670549915583705
31860,0.4750337448752354,-0.5566367884459937,53,False,0.3023302448724719
31900,0.3822795539417121,-0.5798080313902523,45,False,0.45161893416018734
32580,0.4143455504265088,-0.5506407224843554,79,False,0.42003406458659537
32780,0.45004137393624,-0.5770383374501896,64,False,0.419347258603637
